phase,benchmark,before_mean_ns,before_ci_low_ns,before_ci_high_ns,after_mean_ns,after_ci_low_ns,after_ci_high_ns,change_percent,before_std_dev_ns,after_std_dev_ns
screening,worker_codec/decode_frame/100,875226.9812420082,852940.5998028005,897814.6523708447,892227.7037076888,868808.4819547351,915700.9256948261,1.9424358286527443,52727.0520325183,55524.55285168915
screening,worker_codec/decode_members/1,7998.536266388245,7809.880821911746,8193.078668306403,7253.503646909385,7184.636856493838,7324.264516005013,-9.3146120073202,455.42878498252236,165.5177464427285
screening,worker_codec/decode_members/10,93776.08949387654,90908.15958985085,96696.7072321058,96760.36779253914,94389.44910510878,99060.72303878811,3.1823445771402836,6766.6069374114495,5487.5626332056045
screening,worker_codec/decode_members/100,898330.146697239,873214.6483947948,923614.6450993272,903709.220795343,876840.6259310304,929914.5269994701,0.5987858826602244,58838.30008804194,62738.49715655861
screening,worker_codec/encode_frame/1,2960.8410078747215,2871.7570457593124,3053.117705381547,3099.2162068184984,3019.929534571675,3181.5342246337004,4.673509944497223,211.74934197616065,190.6608638582029
screening,worker_codec/encode_frame/10,26288.931550214224,25655.927994209265,26926.073217467612,26372.67933085009,25734.73283603776,26994.025304430044,0.3185666959339972,1495.4214500516794,1480.863389101464
screening,worker_codec/encode_frame/100,248332.67358357282,242266.53982986385,254641.61760569448,246743.95514874207,241926.23999983032,251429.23123804943,-0.639754089506106,14614.210767274806,11176.851044628025
screening,worker_summary/view_encode/1,1450.8121220058379,1404.0236577496566,1497.540115303893,1450.8758934662478,1401.951468511927,1501.4392555733361,0.004395569863424598,109.46136925957005,117.2706274791217
screening,worker_summary/view_encode/1000,1538.3501110508903,1492.5304728055276,1584.665499290389,1542.8215464075104,1501.0039335469069,1583.359361064943,0.29066435036466665,108.44393155289666,96.71732304414297
screening,worker_summary/view_encode/20,1465.1822777197103,1419.066821009518,1511.6155234333353,1518.921569172249,1469.0496359771423,1568.3550293214603,3.6677546725568,108.47253894393398,116.58617780891534
screening,worker_summary/view_encode/5,1424.8324765001673,1384.9575532977747,1464.6115085982153,1552.888047642795,1518.04507922323,1585.0926630716588,8.987412433016129,94.05166335282084,78.83241533236576
screening,worker_wire/decode_ping/0,3272.558175179318,3153.580421942015,3393.081576823012,3101.523400294266,3008.6834525104946,3195.8403339710135,-5.226332603718498,280.8181348698732,220.2052027064577
screening,worker_wire/decode_ping/1,14147.741159269182,13823.00597953549,14458.952372530239,13909.441973181358,13576.103921751439,14240.797833149734,-1.6843620716915475,741.2287733868295,775.7916692210335
screening,worker_wire/decode_ping/10,25255.127437801737,24491.41225012363,26012.207612184095,25147.940510273867,24564.095076050962,25727.375750540155,-0.42441649835998074,1775.333589867559,1362.8289579796326
screening,worker_wire/encode_ping/0,753.9138258535199,730.1009208378667,777.7058502950928,750.0198259493961,728.4246511277458,772.2418379329154,-0.5165046415902097,56.29230638066601,51.3921731521335
screening,worker_wire/encode_ping/1,3091.3126685106226,3000.2864506207125,3186.136644514094,3081.211724164197,3007.0833231091915,3152.4701205765464,-0.32675259443399884,218.14558853275523,169.89619808792037
screening,worker_wire/encode_ping/10,125840.4268048045,122718.44786370642,128998.93830018905,44925.098944115234,43540.687243454966,46338.04223170043,-64.29994709585647,7390.315160422118,3292.3822492415716
confirmation,anti_entropy_collect/late_cursor/10000,3021.0563970027997,2990.0143084304405,3057.2322300402225,508.1632379645159,502.5588660468938,514.647133917939,-83.17928660753681,95.02544963524967,17.395771563190703
confirmation,anti_entropy_collect/one_batch/1000,444127.76826919836,436412.0025176682,453579.0726190953,405494.55460899643,401874.45282374584,409292.8386941499,-8.698671062779672,24813.286180360934,10659.87437263173
confirmation,gossip_queue/mixed/4096,175875.91665129454,173624.72504722865,178502.55584365985,196096.48964145733,184195.75506942524,209910.40505253332,11.497067577622744,6913.51985554141,36689.204778934174
confirmation,gossip_queue/retire/4096,178890.21285729058,176460.4247142373,181621.4282283973,175526.44582922864,172842.3983437138,179220.39183926687,-1.8803527450355073,7366.38352547049,9315.2966121901
confirmation,gossip_queue/retire/512,24836.38659127809,24057.698136204763,25711.774955638502,20397.86360750141,19971.990012187016,20837.35654748576,-17.871049669259765,2359.5804748198034,1234.2106700099605
confirmation,gossip_queue/take_batch/16,5444.287781727217,5371.825840562638,5523.511060547368,4650.133437146086,4614.64331071343,4684.920926202396,-14.586928105574593,217.17778616535242,100.58112104994605
confirmation,gossip_queue/take_batch/4096,195742.21203340063,191592.80424493592,200352.01042474373,183741.2801446948,178721.5187964641,188825.93313854045,-6.130988182895381,12481.894942490095,14418.544605114967
confirmation,gossip_queue/take_batch/512,19488.485570477387,18107.00573880936,21204.128210905143,16255.236615309965,16148.604676340477,16363.919145569236,-16.590560325864367,4447.201735183373,305.6490405877385
confirmation,worker_wire/encode_ping/0,628.1181239252389,619.5914197689817,637.1018327492374,606.4841394796524,596.464114904653,617.7824477485754,-3.4442541333453813,24.803761504808698,30.437136068323294
confirmation,worker_wire/encode_ping/10,121319.25087225856,119891.76488990174,122913.67028293776,41663.46709231562,41159.111124143375,42191.85005194883,-65.65799179209853,4325.7600205842355,1469.561603569497
retained-verification,anti_entropy_collect/late_cursor/10000,3021.0563970027997,2990.0143084304405,3057.2322300402225,425.90930728944727,424.2961909272651,428.70539608721083,-85.90197429905668,95.02544963524967,7.093815630187458
retained-verification,anti_entropy_collect/one_batch/1000,444127.76826919836,436412.0025176682,453579.0726190953,304993.208352536,304788.83755523455,305211.72957551613,-31.327597564746046,24813.286180360934,604.6149545914718
retained-verification,worker_wire/encode_ping/0,628.1181239252389,619.5914197689817,637.1018327492374,487.84495055754445,485.3686639063653,490.60353858622005,-22.332291972582908,24.803761504808698,7.332293242715101
retained-verification,worker_wire/encode_ping/10,121319.25087225856,119891.76488990174,122913.67028293776,31432.010234944242,31388.527062873894,31494.346529605333,-74.09149000759975,4325.7600205842355,153.47915361713936
